C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:05:12

Vmag< 11&dec< 0&rah >=21.25&rah< 21.5
-------------------------------------

Number of objects : 3612

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------
769 |HD 202426                                                             |Star                          |21 16 11.2586631288 -18 00 43.915115592|031.5011772297081 -39.8455592352878|    2.971 1.834     |10.298   |F5V            |    ~     ~    
770 |HD 202607                                                             |High Proper Motion Star       |21 17 30.8639435736 -18 04 45.117120684|031.5645233244830 -40.1642983775373|149.972 -39.742     |9.85     |G3/5V          |    ~     ~    
771 |HD 202623                                                             |Star                          |21 17 33.6293271096 -18 05 44.039104296|031.5495208198937 -40.1803121942689|  29.456 -3.143     |10.05    |G5V            |    ~     ~    
772 |HD 202647                                                             |Star                          |21 17 44.1297420408 -18 10 22.043530380|031.4739803386548 -40.2463769234534|-16.940 -12.741     |8.95     |K2IIICNII      |    ~     ~    
773 |* 30 Cap                                                              |Star                          |21 17 57.2864746704 -17 59 06.499058280|031.7280945024358 -40.2290776430475|  16.026 -0.967     |5.383    |B5II/III       |    ~     ~    
774 |HD 202804                                                             |Star                          |21 18 48.6603953760 -18 13 41.574964332|031.5233550891369 -40.5050260205144|  29.619 -5.470     |10.169   |G3V            |    ~     ~    
775 |HD 203208                                                             |Star                          |21 21 20.8927644984 -18 07 20.282080944|031.9333361497977 -41.0322845696636|  5.403 -35.786     |9.978    |K0III          |    ~     ~    
776 |HD 203252                                                             |Star                          |21 21 35.6703014208 -17 54 34.609131072|032.2245037119032 -41.0120819234836| -10.229 -5.710     |9.42     |K0III          |    ~     ~    
777 |HD 203388                                                             |High Proper Motion Star       |21 22 16.7374566048 -17 57 29.829440556|032.2404948487726 -41.1815732777709| 36.158 -43.779     |9.77     |G8IV           |    ~     ~    
778 |HD 202356                                                             |Star                          |21 15 42.0 -18 49 00                   |030.4652 -40.0171                  |            ~ ~     |10.2     |G5             |    ~     ~    
779 |HD 202427                                                             |Star                          |21 16 15.6396922368 -19 14 08.937545100|030.0084435077935 -40.2842881387172|  30.963 -7.286     |10.67    |G5             |    ~     ~    
780 |HD 202496                                                             |Star                          |21 16 48.0010035216 -18 46 36.970045392|030.6307859488814 -40.2480247431915|  19.968 -7.036     |10.19    |G6/8           |    ~     ~    
781 |HD 202555                                                             |Star                          |21 17 13.9825357032 -18 53 52.136179908|030.5278394108264 -40.3856769197125| 16.805 -14.621     |9.67     |M1(III)        |    ~     ~    
782 |HD 202634                                                             |Star                          |21 17 42.3435580152 -18 54 41.916301704|030.5609123104283 -40.4954772360773|  3.869 -10.996     |10.57    |G0/2V          |    ~     ~    
783 |HD 202757                                                             |Star                          |21 18 34.9945645416 -19 14 02.903007804|030.2536876908766 -40.7998727450811|  -12.412 1.545     |10.142   |F0V            |    ~     ~    
784 |HD 202788                                                             |Star                          |21 18 46.6016255424 -18 47 52.056778524|030.8159034262500 -40.6946543346161|   14.455 9.160     |10.294   |F6/7V          |    ~     ~    
785 |HD 203039                                                             |Star                          |21 20 18.2910467808 -18 56 03.224292684|030.8095997392703 -41.0810284301745| 11.761 -11.438     |8.97     |M0/1III        |    ~     ~    
786 |HD 203071                                                             |High Proper Motion Star       |21 20 28.7540510088 -18 56 00.555533448|030.8291560218922 -41.1195494519368|-38.927 -38.616     |10.36    |G2/3V          |    ~     ~    
787 |HD 203118                                                             |Star                          |21 20 45.9682905744 -18 56 05.484823008|030.8581191660452 -41.1838084582431|   14.278 2.096     |10.39    |F3V            |    ~     ~    
788 |HD 203192                                                             |High Proper Motion Star       |21 21 17.2852417296 -19 09 54.927418284|030.6252581735466 -41.3779104310115|  65.266 15.891     |8.82     |K1/2III        |    ~     ~    
789 |HD 203191                                                             |Star                          |21 21 17.8242609384 -18 49 32.420295336|031.0515335621046 -41.2646285510417|  11.401 -4.275     |9.34     |A2V            |    ~     ~    
790 |HD 203224                                                             |Star                          |21 21 31.3050416832 -19 11 03.289590744|030.6262127802146 -41.4362573925640|  25.826 -5.765     |8.83     |Fm_dD          |    ~     ~    
791 |HD 203270                                                             |Star                          |21 21 44.1345482160 -18 44 07.637919576|031.2116559938903 -41.3312605542354|-24.709 -28.976     |7.95     |G2/3V          |    ~     ~    
792 |HD 203295                                                             |Star                          |21 21 52.1211570648 -18 23 30.570404604|031.6553418938097 -41.2422322413186|   14.802 6.219     |10.172   |A9V            |    ~     ~    
793 |HD 203331                                                             |Star                          |21 22 03.7434568968 -19 13 29.566019784|030.6324771178677 -41.5701250292454| -6.664 -42.157     |9.622    |K2/3III        |    ~     ~    
794 |HD 203389                                                             |High Proper Motion Star       |21 22 20.8426971936 -19 19 09.006637908|030.5438483848530 -41.6651166649438| 61.968 -40.497     |9.797    |G8V            |    ~     ~    
795 |HD 203193                                                             |Star                          |21 21 15.5244869160 -19 29 04.495871904|030.2208835673389 -41.4783566213122|   -3.929 2.613     |9.958    |F3/5V          |    ~     ~    
796 |HD 203209                                                             |Star                          |21 21 23.2903052352 -19 31 40.023849864|030.1800225529260 -41.5214861503454|   18.809 0.704     |8.89     |B9V            |    ~     ~    
797 |HD 359048                                                             |Star                          |21 20 36.9247323840 -18 59 49.661886192|030.7642170024495 -41.1714663264347|   32.596 0.167     |10.80    |F2             |    ~     ~    
798 |HD 358997                                                             |Star                          |21 15 31.8560666664 -17 55 06.923714844|031.5431934966003 -39.6663690173641|  3.809 -10.880     |10.924   |K0             |    ~     ~    
799 |HD 359000                                                             |Star                          |21 17 08.5871299368 -18 20 38.784901020|031.1993979030903 -40.1745600785180| -8.463 -12.148     |10.23    |K7             |    ~     ~    
800 |HD 359006                                                             |Star                          |21 18 13.7747994864 -18 52 04.644196392|030.6706349894658 -40.5970187308124|-25.391 -11.094     |10.747   |K0             |    ~     ~    
801 |HD 359009                                                             |Spectroscopic Binary          |21 20 15.1761238656 -19 20 50.157853296|030.2878329212566 -41.2089681046048|  1.608 -13.076     |10.35    |K7             |    ~     ~    
802 |BD-20 6186                                                            |Spectroscopic Binary          |21 20 50.4409231656 -19 33 37.050147288|030.0819512000687 -41.4106100083067|   -8.671 5.042     |10.779   |~              |    ~     ~    
803 |TYC 6351-420-1                                                        |Star                          |21 19 45.5328 -17 38 08.131            |032.3572711 -40.5061695            | 13.018 -10.593     |10.28    |~              |    ~     ~    
804 |HD 202468A                                                            |Star                          |21 16 28.1817077952 -19 35 11.739520500|029.5963270592115 -40.4482372511146| -24.470 -3.372     |10.41    |G2/3V          |    ~     ~    
805 |HD 359038                                                             |Star                          |21 22 03.4302747024 -17 46 11.295891912|032.4496052503412 -41.0653953792191| 32.151 -29.779     |10.567   |K0             |    ~     ~    
806 |HD 359055                                                             |Star                          |21 20 55.6970330304 -19 52 49.566179136|029.6876295582726 -41.5356105513271| 17.178 -25.084     |10.82    |F5             |    ~     ~    
807 |HD 358988                                                             |Star                          |21 15 19.4850045072 -17 32 45.657945888|031.9720331811269 -39.4875733979396| -9.324 -12.077     |10.935   |K0             |    ~     ~    
808 |HD 359005                                                             |Spectroscopic Binary          |21 18 33.7528180392 -18 57 21.469624128|030.5970039615357 -40.7010650266867|  9.036 -21.581     |10.65    |G0             |    ~     ~    
809 |HD 204203                                                             |High Proper Motion Star       |21 27 29.1859461456 -20 12 45.926165124|029.9377776027531 -43.1003581141702|-30.491 -83.279     |7.83     |K1III          |    ~     ~    
810 |HD 204204                                                             |Star                          |21 27 30.4072303979 -20 16 04.300831021|029.8683742488410 -43.1225434142847|-10.066 -30.998     |8.82     |G0             |    ~     ~    
811 |HD 359083                                                             |Double or Multiple Star       |21 28 18.394800 -20 17 32.45928        |029.918848677 -43.308077184        |      22.3 -9.4     |10.874   |F5             |    ~     ~    
812 |HD 203544                                                             |Star                          |21 23 16.2795758112 -17 52 08.986288440|032.4625708956315 -41.3708203495715|   8.389 -7.327     |10.219   |K1/2+A3/5      |    ~     ~    
813 |HD 203686                                                             |Spectroscopic Binary          |21 24 20.0849560296 -18 17 12.330827448|032.0588655515922 -41.7542483579752|   7.710 -5.229     |9.951    |K0III          |    ~     ~    
814 |HD 203722                                                             |Star                          |21 24 31.0359865080 -17 56 09.808216116|032.5191521879527 -41.6717108177784|  6.379 -11.683     |10.70    |F8/G0V         |    ~     ~    
815 |HD 203739                                                             |Star                          |21 24 38.1872919648 -18 01 00.478659612|032.4313721805329 -41.7267285679011|   19.794 5.491     |10.47    |G3/5V          |    ~     ~    
816 |HD 203649                                                             |Star                          |21 24 10.9744094088 -18 38 22.233548724|031.5982448227320 -41.8426407714907|  23.552 -3.983     |10.55    |G0/2(V)        |    ~     ~    
817 |HD 203545                                                             |Star                          |21 23 21.3130291800 -19 40 53.273665920|030.1910961461054 -42.0094959248618|  6.739 -39.515     |8.83     |F5V            |    ~     ~    
818 |HD 203637                                                             |Spectroscopic Binary          |21 24 08.4108216048 -19 37 14.919737196|030.3504084847332 -42.1639486330204| 13.108 -36.364     |9.514    |F3V            |    ~     ~    
819 |HD 203740                                                             |Star                          |21 24 40.1568506448 -19 35 53.783197584|030.4347153942158 -42.2741107460644| 10.202 -32.859     |9.43     |K0III          |    ~     ~    
820 |HD 359041                                                             |Star                          |21 22 32.4102825840 -18 01 47.906425596|032.1804498451379 -41.2649823795430| -5.680 -10.268     |10.854   |K0             |    ~     ~    
821 |BD-18 5925                                                            |Spectroscopic Binary          |21 24 12.2720709840 -18 12 49.704325452|032.1359907063423 -41.6998004154415| 79.575 -34.549     |10.984   |~              |    ~     ~    
822 |HD 359050                                                             |Star                          |21 23 03.3290981448 -19 39 18.338291676|030.1932806253914 -41.9341853977550|   12.414 6.924     |10.371   |K0             |    ~     ~    
823 |HD 359047                                                             |Star                          |21 23 11.2304628888 -19 05 44.430389196|030.9151690973101 -41.7766690186251|   4.740 10.527     |10.28    |K0             |    ~     ~    
824 |HD 359044                                                             |Star                          |21 24 24.6023606976 -18 32 58.314672348|031.7365392484699 -41.8621651008816|   -4.146 1.637     |10.550   |K2             |    ~     ~    
825 |HD 203895                                                             |Star                          |21 25 30.0597639216 -18 11 30.786226764|032.3081477867314 -41.9805673592267|  -6.635 -8.960     |9.795    |K0/1(III)      |    ~     ~    
826 |HD 203910                                                             |Spectroscopic Binary          |21 25 37.7738027784 -18 14 52.564574292|032.2518424040642 -42.0287655872510| -3.448 -27.386     |10.121   |F3/5V          |    ~     ~    
827 |HD 204028                                                             |Variable Star                 |21 26 16.5663978744 -18 08 57.909354432|032.4485776393890 -42.1381453307379| -7.602 -11.797     |8.54     |K4/5III        |    ~     ~    
828 |HD 204123                                                             |Star                          |21 26 57.6170463888 -18 03 06.585708852|032.6489865814690 -42.2560964817890| -13.558 -5.694     |9.460    |K1III          |    ~     ~    
829 |HD 204491                                                             |Star                          |21 29 27.8337434232 -18 12 00.309269412|032.7437943446301 -42.8651453822817|  -3.565 -4.661     |10.59    |G8/K0          |    ~     ~    
830 |HD 204550                                                             |Star                          |21 29 50.1615899280 -18 20 58.528749228|032.5944765715768 -43.0000683996847|  17.444 11.498     |9.46     |A8V            |    ~     ~    
831 |HD 203929                                                             |Star                          |21 25 43.0034930256 -18 35 14.413771248|031.8324888995941 -42.1658759868245| 26.129 -20.620     |8.884    |K1III          |    ~     ~    
832 |HD 203982                                                             |High Proper Motion Star       |21 26 02.2344918816 -18 53 47.847370776|031.4749619114171 -42.3430425166588| 39.761 -61.071     |10.49    |K0(III)        |    ~     ~    
833 |HD 204060                                                             |Star                          |21 26 34.8404312160 -18 48 47.220005340|031.6405657954199 -42.4354710004016| 10.251 -44.155     |10.343   |G3/5V          |    ~     ~    
834 |HD 204124                                                             |Star                          |21 26 59.7318912936 -18 23 30.075064764|032.2222884515968 -42.3827160269446|-16.673 -13.467     |9.01     |K0III          |    ~     ~    
835 |HD 204125                                                             |Spectroscopic Binary          |21 27 03.1358727864 -19 03 29.443374540|031.3791384569793 -42.6235569522381| 24.551 -38.629     |8.716    |K1/2IIICNV     |    ~     ~    
836 |HD 204160                                                             |Star                          |21 27 13.3166222544 -19 18 42.492354480|031.0724637553243 -42.7464805351591|   10.716 1.639     |8.22     |K0III          |    ~     ~    
837 |HD 204238                                                             |Star                          |21 27 46.1117188728 -19 10 51.591307044|031.2992803468645 -42.8242242974400|    5.832 0.934     |9.59     |F2V            |    ~     ~    
838 |HD 204255                                                             |Star                          |21 27 47.8982783592 -18 21 57.428174700|032.3446676516472 -42.5523819992387|   9.182 -0.704     |10.60    |F2V            |    ~     ~    
839 |HD 204300                                                             |Star                          |21 28 06.7 -19 05 58                   |031.4412 -42.8731                  |            ~ ~     |10.2     |F8             |    ~     ~    
840 |HD 204348                                                             |Eclipsing Binary              |21 28 28.7206363824 -18 52 23.767442760|031.7717084690501 -42.8781682124106| 14.563 -51.082     |9.847    |K0III          |    ~     ~    
841 |HD 204365                                                             |Star                          |21 28 31.0624347672 -18 40 00.873456816|032.0405398116341 -42.8163486750647|  2.764 -11.977     |9.58     |K0III          |    ~     ~    
842 |HD 204577                                                             |High Proper Motion Star       |21 29 59.5751923536 -19 08 52.181581812|031.5835850098671 -43.3078339163158| 33.598 -44.125     |6.570    |F3V            |    ~     ~    
843 |HD 204436                                                             |Star                          |21 29 05.2332486336 -19 32 28.302361116|030.9764202126795 -43.2374832888347|  10.183 -8.681     |8.94     |A0V            |    ~     ~    
844 |HD 204449                                                             |High Proper Motion Star       |21 29 09.8865945864 -19 24 46.852518816|031.1507047912002 -43.2122572250983|-18.850 -61.320     |9.99     |G1/2V          |    ~     ~    
845 |HD 359081                                                             |Star                          |21 27 23.5309718784 -19 20 43.523537928|031.0475536413759 -42.7955602447329| 35.532 -24.495     |10.99    |G0             |    ~     ~    
846 |HD 204256                                                             |Star                          |21 27 52.2281378880 -20 01 02.833138236|030.2308344250019 -43.1227487864982| 18.946 -31.914     |9.78     |F8/G0V         |    ~     ~    
847 |HD 359037                                                             |Star                          |21 22 46.0562988360 -17 47 39.371883432|032.4991226775316 -41.2321614537977| 13.199 -32.171     |10.731   |G0             |    ~     ~    
848 |TYC 6364-870-1                                                        |Star                          |21 25 59.1116244024 -18 39 08.226038412|031.7796989267911 -42.2479411248376|  12.953 -9.269     |10.564   |~              |    ~     ~    
849 |TYC 6365-996-1                                                        |Star                          |21 29 52.3761146136 -18 43 49.264710708|032.1093614865516 -43.1395852757987|  16.704 -2.003     |10.97    |~              |    ~     ~    
850 |HD 359049                                                             |Star                          |21 24 56.8807650144 -19 03 28.683729000|031.1519573572003 -42.1554942487391| 31.717 -16.317     |10.481   |G0             |    ~     ~    
851 |TYC 6368-491-1                                                        |Star                          |21 23 14.4325513416 -19 44 01.623982020|030.1126546975614 -42.0012364077542|  -4.427 -7.234     |10.77    |~              |    ~     ~    
852 |HD 359059                                                             |Star                          |21 23 11.8954768368 -19 55 55.698435156|029.8559627035234 -42.0567999478376|   2.849 29.298     |10.81    |F              |    ~     ~    
853 |HD 359082                                                             |Star                          |21 27 40.4372297040 -19 30 33.777585216|030.8667264944135 -42.9127063799348| -8.614 -23.239     |10.89    |F5             |    ~     ~    
854 |HD 202336                                                             |Star                          |21 15 34.7155080480 -17 15 44.739894780|032.3429189344802 -39.4416990719431|   4.801 -2.103     |10.43    |M0/2           |    ~     ~    
855 |HD 202335                                                             |Star                          |21 15 37.3824602784 -17 06 19.995632388|032.5370778937253 -39.3945425858084| -16.941 -3.898     |10.572   |G2/3V          |    ~     ~    
856 |HD 202435                                                             |Star                          |21 16 20.2596711624 -17 19 35.809953780|032.3504501443618 -39.6338322123114|  7.023 -11.390     |10.669   |F6/7V          |    ~     ~    
857 |HD 202526                                                             |Star                          |21 16 57.5202731856 -17 14 53.228749308|032.5153179332809 -39.7435605551030|  -3.758 14.728     |9.54     |G8III          |    ~     ~    
858 |HD 202622                                                             |Star                          |21 17 27.3796899720 -17 10 42.340711368|032.6559896143849 -39.8289723771160|  8.814 -14.332     |9.64     |K3(III)        |    ~     ~    
859 |HD 202713                                                             |High Proper Motion Star       |21 18 10.9579820088 -17 11 45.961274184|032.7167421950774 -39.9969960839264|  0.466 -79.618     |10.523   |F8/G0V         |    ~     ~    
860 |HD 202912                                                             |Star                          |21 19 25.2958792704 -17 22 36.926451948|032.6363827682708 -40.3381625691565|-17.077 -12.054     |10.345   |G3V            |    ~     ~    
861 |HD 358983                                                             |Star                          |21 19 36.6051063984 -17 16 53.512039056|032.7744110206464 -40.3455975650910| -21.300 -4.104     |10.838   |K0             |    ~     ~    
862 |HD 202291                                                             |Pulsating Variable            |21 15 10.0518820464 -15 07 31.921499496|034.8433449252944 -38.5473155665754|   2.718 -0.296     |8.17     |A5/7IV         |    ~     ~    
863 |HD 202318                                                             |Star                          |21 15 26.9664189384 -15 16 01.856927532|034.7100128413106 -38.6649334695616| -0.759 -12.482     |9.36     |K3III          |    ~     ~    
864 |* 29 Cap                                                              |Variable Star                 |21 15 44.8423435152 -15 10 17.404817304|034.8586787809799 -38.6941078473807|   23.818 4.264     |5.317    |M2III          |    ~     ~    
865 |HD 202467                                                             |High Proper Motion Star       |21 16 25.5964693536 -15 18 19.650213828|034.7816568422083 -38.8970460886240| 23.058 -49.824     |10.42    |G1V            |    ~     ~    
866 |HD 202282                                                             |High Proper Motion Star       |21 15 11.6892779616 -15 44 28.342655880|034.1187997466408 -38.7903767578368|-31.485 -143.473    |8.96     |G3V            |    ~     ~    
867 |HD 202803                                                             |Double or Multiple Star       |21 18 45.498216 -15 28 00.04116        |034.869539321 -39.477762474        |     -2.3 -27.0     |10.01    |G8/K1+A/F      |    ~     ~    
868 |HD 202991                                                             |Star                          |21 19 48.1851404016 -15 24 42.591796200|035.0611261030462 -39.6889356791568| 11.578 -13.883     |9.825    |G8IV           |    ~     ~    
869 |HD 203330                                                             |Star                          |21 21 54.6899787696 -15 42 35.078088564|034.9567848110483 -40.2722047167325|    3.415 2.682     |10.30    |A9V            |    ~     ~    
870 |HD 359021                                                             |Star                          |21 22 03.6356670768 -15 42 51.564506652|034.9692305591774 -40.3071087397948| -8.938 -31.132     |10.273   |G0             |    ~     ~    
871 |HD 202310                                                             |Star                          |21 15 24.0048107256 -16 22 22.781841132|033.3906191715622 -39.0745161143276|   13.406 2.759     |10.746   |F0/2V          |    ~     ~    
872 |HD 202319                                                             |Star                          |21 15 25.8367914192 -15 59 02.111876484|033.8581065673630 -38.9350164719355| 22.933 -35.551     |9.713    |F0V            |    ~     ~    
873 |HD 202334                                                             |Star                          |21 15 34.9405378896 -16 05 28.138006104|033.7481112511722 -39.0092741832245| -8.507 -10.048     |8.35     |F0V            |    ~     ~    
874 |HD 202589                                                             |Star                          |21 17 14.6640786048 -15 58 31.691387352|034.0809020188939 -39.3353142649250|  -8.186 -4.113     |10.20    |K4III          |    ~     ~    
875 |HD 202669                                                             |Star                          |21 17 51.6327161064 -15 53 28.001094720|034.2545672062626 -39.4403870032977| -0.864 -29.847     |8.40     |F5V            |    ~     ~    
876 |HD 202770                                                             |Star                          |21 18 32.9479357152 -16 11 10.413563388|033.9812176460445 -39.7050938630555|    4.449 7.599     |10.486   |F7V            |    ~     ~    
877 |HD 202890                                                             |Star                          |21 19 14.9404686216 -16 10 46.360385256|034.0715327703823 -39.8582720937423| 17.203 -33.487     |6.904    |K0III          |    ~     ~    
878 |HD 202910                                                             |Star                          |21 19 23.0581021536 -15 56 47.468093172|034.3684757375477 -39.8003445298637| -17.749 -8.883     |10.312   |K0(III)        |    ~     ~    
879 |HD 203036                                                             |Star                          |21 20 11.0929655880 -15 52 10.732502496|034.5563754020514 -39.9492179202201|   14.387 1.262     |10.220   |F3V            |    ~     ~    
880 |HD 203070                                                             |Star                          |21 20 22.0324856448 -16 21 17.793188064|033.9907249658994 -40.1728360892240| 16.632 -11.195     |10.24    |G6/8(III)      |    ~     ~    
881 |HD 203310                                                             |Spectroscopic Binary          |21 21 48.0867128352 -15 58 37.681652496|034.6193342624593 -40.3495593357767|  10.308 -0.724     |8.51     |M0/1III        |    ~     ~    
882 |HD 202511                                                             |Star                          |21 16 48.9568780536 -16 58 44.479696476|032.8247582168759 -39.6137242005338|   10.466 9.043     |10.48    |G5             |    ~     ~    
883 |HD 202536                                                             |Star                          |21 16 57.2801872056 -16 58 02.448751116|032.8546360681919 -39.6403133586075|   5.823 -8.771     |10.981   |F8             |    ~     ~    
884 |HD 202670                                                             |Rotating Variable             |21 17 52.4691659280 -16 32 58.829369172|033.4644741888720 -39.6908740601302| -4.544 -23.343     |10.259   |G6III          |    ~     ~    
885 |HD 202737                                                             |Star                          |21 18 25.1458386192 -16 44 56.935523724|033.2862018086314 -39.8859133276300| 10.264 -22.690     |10.462   |F3/5V          |    ~     ~    
886 |HD 202786                                                             |Star                          |21 18 41.8259791920 -16 58 26.569974792|033.0452491400958 -40.0304527638210| -6.346 -12.491     |10.577   |G6/8(V)        |    ~     ~    
887 |HD 202839                                                             |Star                          |21 18 56.7634219536 -17 06 44.629018344|032.9053413060168 -40.1363918435742|  6.677 -11.122     |10.176   |F3V            |    ~     ~    
888 |HD 202891                                                             |Star                          |21 19 16.9577989776 -16 30 43.716762468|033.6732785852261 -39.9902072694914|-16.569 -38.026     |9.53     |K2III          |    ~     ~    
889 |HD 202911                                                             |Star                          |21 19 24.9188608248 -16 36 19.478293956|033.5756293444160 -40.0543771030292|    8.669 2.350     |10.066   |G8III/IV       |    ~     ~    
890 |HD 202939                                                             |Star                          |21 19 36.7334436528 -16 46 37.534284876|033.3898766235873 -40.1616827869946|  -4.243 -6.671     |9.06     |A0/1IV         |    ~     ~    
891 |HD 203037                                                             |Star                          |21 20 10.5358962408 -16 28 17.117693328|033.8268557071792 -40.1737054356503|  -4.243 -7.608     |9.06     |F0V            |    ~     ~    
892 |HD 203055                                                             |Star                          |21 20 18.6590890344 -17 00 37.391030460|033.1859126179261 -40.4028360940067|  -9.009 -2.517     |9.563    |M0/1III        |    ~     ~    
893 |HD 203117                                                             |High Proper Motion Star       |21 20 41.6030158920 -17 04 57.915157728|033.1412609339720 -40.5143562600875| 74.753 -22.070     |10.171   |G6V            |    ~     ~    
894 |HD 203350                                                             |Star                          |21 22 06.6988360320 -17 02 16.202411736|033.3595738337896 -40.8135068318971| 11.376 -18.931     |10.676   |F5/6V          |    ~     ~    
895 |* iot Cap                                                             |BY Dra Variable               |21 22 14.7956478 -16 50 04.359799      |033.6250060846 -40.7689602916      |     30.00 4.52     |4.27     |G7IIIFe-1.5    |    ~     ~    
896 |HD 359032                                                             |Spectroscopic Binary          |21 20 26.1260823720 -16 58 57.804129840|033.2340247835120 -40.4204015498189| -12.814 -0.768     |10.925   |F2             |    ~     ~    
897 |HD 358975                                                             |Star                          |21 17 45.8866216008 -16 07 35.662238796|033.9609165825796 -39.5081484900813| -27.869 -4.033     |10.503   |G0             |    ~     ~    
898 |HD 358962                                                             |Double or Multiple Star       |21 18 22.807848 -15 17 03.37200        |035.041739421 -39.323241294        |      -9.7 32.6     |10.422   |F8             |    ~     ~    
899 |BD-16 5836                                                            |Star                          |21 18 41.6216949384 -16 14 03.780535488|033.9401494994364 -39.7553527251591|    7.079 0.341     |10.811   |~              |    ~     ~    
900 |BD-17 6242                                                            |Star                          |21 21 09.7158593424 -17 04 02.581939560|033.2138929387093 -40.6129959415401|  -1.261 -1.060     |10.630   |~              |    ~     ~    
901 |HD 359022                                                             |Star                          |21 22 23.1991780152 -16 03 11.874334104|034.5966841118850 -40.5085524573443|  9.346 -12.772     |10.24    |F2             |    ~     ~    
902 |HD 359030                                                             |Star                          |21 20 43.8694369344 -16 52 34.864197060|033.3981197361475 -40.4471756139687|  5.944 -11.051     |10.737   |K0             |    ~     ~    
903 |HD 202803A                                                            |Star                          |21 18 45.5132690664 -15 27 59.860411092|034.8696295076248 -39.4777989312345| -5.139 -32.763     |10.42    |~              |    ~     ~    
904 |HD 358964                                                             |Star                          |21 18 39.3912567984 -15 28 51.759735384|034.8401348731029 -39.4606590485614|   10.391 0.823     |10.953   |G0             |    ~     ~    
905 |HD 358984                                                             |Star                          |21 19 18.6505534944 -17 19 30.007793460|032.6873486242310 -40.2947549507949|   3.153 20.033     |10.943   |G5             |    ~     ~    
906 |HD 359023                                                             |Star                          |21 20 26.6401253088 -16 13 23.241773064|034.1596550047247 -40.1404859438325|  17.121 -1.490     |10.807   |G0             |    ~     ~    
907 |HD 358968                                                             |Star                          |21 16 22.0176609096 -15 51 49.514032944|034.1110623792562 -39.0977578051063| -4.693 -22.767     |10.99    |F5             |    ~     ~    
908 |HD 359024                                                             |Star                          |21 21 21.2887520976 -16 22 35.951298024|034.0805010393930 -40.4006557063981|   17.359 3.443     |10.988   |G5             |    ~     ~    
909 |HD 203429                                                             |Spectroscopic Binary          |21 22 35.2340368560 -17 30 59.715905148|032.8232162859427 -41.0928004097027|78.897 -229.976     |9.68     |K2(III)        |    ~     ~    
910 |HD 203430                                                             |Star                          |21 22 35.0481464376 -17 34 46.739376444|032.7447465325894 -41.1147363798059|  12.154 -7.214     |10.077   |F8             |    ~     ~    
911 |HD 204254                                                             |Star                          |21 27 49.3438351992 -17 44 59.847473436|033.1288416069942 -42.3410655301342| 24.645 -24.982     |10.50    |G8/K0(III)     |    ~     ~    
912 |HD 204015                                                             |High Proper Motion Star       |21 26 11.6465700984 -17 55 05.335898880|032.7310070341094 -42.0384648473211| 51.458 -17.186     |10.07    |G5V            |    ~     ~    
913 |V* CQ Cap                                                             |Eclipsing Binary              |21 26 32.7321547272 -17 52 42.526164612|032.8208554060061 -42.1026131346392|   5.882 -0.058     |8.957    |A9V            |    ~     ~    
914 |BD-18 5945                                                            |Star                          |21 29 31.0073430432 -18 06 47.570109624|032.8607934166264 -42.8464790890411| 12.380 -12.853     |10.68    |~              |    ~     ~    
915 |HD 203738                                                             |Star                          |21 24 28.2298424568 -15 37 47.656596000|035.3644803664383 -40.8105432775737| -6.826 -10.163     |10.97    |F8/G0V         |    ~     ~    
916 |HD 203584                                                             |Star                          |21 23 32.4069331296 -15 52 49.769095512|034.9458255955157 -40.6994948653145|  7.799 -15.381     |10.22    |G8(III)        |    ~     ~    
917 |HD 203706                                                             |Star                          |21 24 20.7788321016 -16 03 43.867060272|034.8208634328686 -40.9477233128202|    9.689 0.011     |8.67     |B9IV/V         |    ~     ~    
918 |HD 203812                                                             |Star                          |21 24 56.9675527680 -15 58 46.096913712|034.9950616999526 -41.0504935684350|   5.231 36.976     |9.852    |G2V            |    ~     ~    
919 |HD 203460                                                             |Star                          |21 22 43.3613172336 -16 32 21.856391772|034.0427402569020 -40.7656512537404|   9.320 -1.793     |9.38     |K0III          |    ~     ~    
920 |HD 203606                                                             |Star                          |21 23 45.6805012416 -17 06 58.116674160|033.4536583135838 -41.2091298408858|  11.599 -8.900     |10.529   |K0/1(III)      |    ~     ~    
921 |HD 203672                                                             |High Proper Motion Star       |21 24 07.0138174296 -17 05 52.994585580|033.5172623050904 -41.2816397523255| 19.820 -82.502     |10.064   |G8             |    ~     ~    
922 |HD 203685                                                             |Star                          |21 24 16.2639891792 -16 45 38.520048312|033.9525657672522 -41.1921222724975|  -8.245 -0.756     |10.817   |F3/5(V)        |    ~     ~    
923 |HD 203753                                                             |Star                          |21 24 38.1675181248 -16 52 26.957535492|033.8550993095423 -41.3151458228254| -2.239 -15.642     |10.57    |G6V            |    ~     ~    
924 |HD 203829                                                             |Star                          |21 25 05.1298605072 -17 02 56.297884560|033.6908035820405 -41.4792139373732|  -2.255 -1.201     |9.70     |G8/K0III       |    ~     ~    
